name,tag,digest,mediaType,platform,arch,partOf,newTag,registries,inventoryItem
cp/ibm-cpd-analyticsengine-operator,1.0.0,sha256:d38181e44479a3515c6215383b20ad8d1e463fa7ed0aa099df534c662a51d2ce,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/ibm-cpd-analyticsengine-operator-bundle,1.0.0,sha256:2309b3806679fa9763ffd6dd2c16dc4c995713ffe0138c7a53efcb9dc85f8651,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/ibm-cpd-analyticsengine-operator-catalog,1.0.0,sha256:2309b3806679fa9763ffd6dd2c16dc4c995713ffe0138c7a53efcb9dc85f8651,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-db-spec,4.0.1001-amd64,sha256:c69718cd440a4e4f9cc9c5a4eaf98335330c5c921195429ecd9c2644625e44e7,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-jkg,2.4.7.v35-amd64,sha256:800951e2a8b462f0f7698473b5cd6ec06a11fe0372592fd893ad6d4f0f91054f,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-jkg,3.0.2.v16-amd64,sha256:ccfd1032f0f72f985ba0f5983ec62a1fd753b536b8d22f5a892e38b4c046df2b,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-nginx,4.0.1001-amd64,sha256:b7cad4a651bdeb73dcee7a8c02844a41e14f9dc8776526f248e8fc46d5639d0f,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-truststore-util,4.0.1003-amd64,sha256:2143fe5d437dececc741b5368e1a5c439ea18e09961837dbfefe85a224e03afc,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-python,4.0.1001-amd64,sha256:bb61b6bcbd2fa1e8c092e0be31d27ba612106061e379087a76ef16a9e3bbeb3e,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-deployer-agent,4.0.1001-amd64,sha256:6de061842a1a5471d453a518ad10adf0b1fc51e367e222d8c331ce1589cfaa88,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-control-plane,4.0.1010-amd64,sha256:597bda29cf08f048ce5b5e562d323be7a86ab71553619888f606487072a069dc,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-helm-repo,4.0.1002-amd64,sha256:bc9f3e6723848652f6ebc9844df5be12a49159c569da1828de947e07aa18ff3e,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
cp/cpd/spark-hb-rsyslog-sidecar,4.0.1001-amd64,sha256:ce626b315d68b522dd979146f5597a37cb153c3d610283ebfbe7d0551783ab0e,application/vnd.docker.distribution.manifest.v2,linux,amd64,,,cp.stg.icr.io,analyticsengineOperatorSetup
